"['Praise You', 'Fatboy Slim']"
"['Nothing Else Matters', 'Metallica']"
"['L-L-Lies', 'Diana King']"
"['Drunk Girl', 'Chris Janson']"
"['I Knew I Loved You', 'Savage Garden']"
"['Underneath Your Clothes', 'Shakira']"
"['Stand By My Woman', 'Lenny Kravitz']"
"['You', 'Monifah']"
"['Act A Fool', 'Ludacris']"
"['You Lie', 'The Band Perry']"
"['Still In Love', 'Teena Marie Featuring Baby']"
"['One And One', 'Robert Miles Featuring Maria Nayler']"
"[""Livin' In The Light"", 'Caron Wheeler']"
"[""He's Mine"", 'MoKenStef']"
"[""That's The Kind Of Mood I'm In"", 'Patty Loveless']"
"['I Do (Wanna Get Close To You)', '3LW Featuring P. Diddy & Loon']"
"['Up & Down', 'Billy Lawrence']"
"['LoveStoned', 'Justin Timberlake']"
"['Promise', 'Romeo Santos Featuring Usher']"
"['Vogue', 'Madonna']"
"[""The Dolphin's Cry"", 'Live']"
"['Live Your Life', 'T.I. Featuring Rihanna']"
"['Rumour Has It / Someone Like You', 'Glee Cast']"
"['Trust', 'Justin Bieber']"
"['Snapback', 'Old Dominion']"
"['Love No Limit', 'Mary J. Blige']"
"[""What I Didn't Know"", 'Athenaeum']"
"['Silence', 'Marshmello Featuring Khalid']"
"['Serious Kinda Girl', 'Christopher Max']"
"['Who We Be', 'DMX']"
"['How To Deal', 'Frankie J']"
"['Sorry', 'Buckcherry']"
"[""Can't Take A Joke"", 'Drake']"
"['Quickie', 'Miguel']"
"['Did My Time', 'Korn']"
"[""Let's Get The Mood Right"", 'Johnny Gill']"
"['Back When', 'Tim McGraw']"
"['Bounce Back', 'Big Sean']"
"['One Of These Days', 'Tim McGraw']"
"[""I Don't Wanna Kiss You Goodnight"", 'LFO']"
"['Think Of You', 'Usher']"
"[""Goin' Crazy"", 'Natalie']"
"[""Don't Go Away Mad (Just Go Away)"", 'Motley Crue']"
"['In The House Of Stone And Light', 'Martin Page']"
"['Johnny Cash', 'Jason Aldean']"
"[""Gettin' You Home"", 'Chris Young']"
"['Good Time', 'Ziggy Marley And The Melody Makers']"
"['Roger That', 'Young Money']"
"['California Gurls', 'Katy Perry Featuring Snoop Dogg']"
"['Just Be Straight With Me', ""Silkk The Shocker Featuring Master P, Destiny's Child, O'Dell, Mo""]"
"[""Cleopatra's Cat"", 'Spin Doctors']"
"['I Wish You Would', 'DJ Khaled Featuring Kanye West & Rick Ross']"
"['Goodbye', 'Spice Girls']"
"[""Lookin' For A Good Time"", 'Lady Antebellum']"
"['Tapout', 'Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj']"
"[""I'll Be Lovin' U Long Time"", 'Mariah Carey']"
"['Hell Of A Night', 'Dustin Lynch']"
"['Pirate Flag', 'Kenny Chesney']"
"['All Falls Down', 'Kanye West Featuring Syleena Johnson']"
"['Broken', 'Lifehouse']"
"[""I Can't Tell You Why"", 'Brownstone']"
"['Treat You Better', 'Shawn Mendes']"
"['Insatiable', 'Darren Hayes']"
"['Hot Boyz', 'Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip']"
"['Home', 'Dierks Bentley']"
"['Ice Cream Paint Job', 'Dorrough']"
"['Tubthumping', 'Chucklebutt']"
"['The Bad Touch', 'Bloodhound Gang']"
"[""I'm A Mess"", 'Bebe Rexha']"
"['Talk To Myself', 'Christopher Williams']"
"['Black', 'Dierks Bentley']"
"['Crazy Cool', 'Paula Abdul']"
"['Unica', 'Ozuna']"
"['Beware Of My Crew (From ""A Thin Line Between Love And Hate"")', 'L.B.C. Crew Feat. Tray D & South Sentrell']"
"[""Don't Go Breaking My Heart"", 'Backstreet Boys']"
"['Silent Prayer', 'Shanice']"
"['Whiskey Girl', 'Toby Keith']"
"['Up Out My Face', 'Mariah Carey Featuring Nicki Minaj']"
"['B.B.D. (I Thought It Was Me)?', 'Bell Biv DeVoe']"
"['Will 2K', 'Will Smith Featuring K-Ci']"
"['Fine By Me', 'Andy Grammer']"
"['Be My Escape', 'Relient K']"
"['Faithfully', 'Glee Cast']"
"['Hot 2Nite', 'New Edition']"
"['Bye Bye', 'Mariah Carey']"
"['Monster', 'Kanye West Featuring Jay-Z, Rick Ross, Bon Iver & Nicki Minaj']"
"['Homegrown Honey', 'Darius Rucker']"
"['Sweet Potatoe Pie', 'Domino']"
"['Another Round', 'Fat Joe Featuring Chris Brown']"
"['Fading Like A Flower (Every Time You Leave)', 'Roxette']"
"[""Player's Ball"", 'OutKast']"
"['Couple Days Off', 'Huey Lewis & The News']"
"['Hallelujah', 'Pentatonix']"
"['People Are Crazy', 'Billy Currington']"
"['Intergalactic', 'Beastie Boys']"
"[""She's All I Ever Had"", 'Ricky Martin']"
"['Automatic', 'Miranda Lambert']"
"[""You're Easy On The Eyes"", 'Terri Clark']"
"['Swing', 'Trace Adkins']"
"['La Camisa Negra', 'Juanes']"
"['American Child', 'Phil Vassar']"
"['Brainstorming', 'M.C. Brains']"
"['Until The End Of Time', 'Justin Timberlake Duet With Beyonce']"
"['The Catalyst', 'Linkin Park']"
"[""Please Don't Go"", 'Boyz II Men']"
"['One Of Us', 'Joan Osborne']"
"['Water Runs Dry', 'Boyz II Men']"
"['Timeless Love (From ""Shocker"")', 'Saraya']"
"[""Freek'n You"", 'Jodeci']"
"['Kiss Me', 'Sixpence None The Richer']"
"['Meet Virginia', 'Train']"
"['When Love Cries', 'Donna Summer']"
"['Right Beside You', 'Sophie B. Hawkins']"
"['HandClap', 'Fitz And The Tantrums']"
"['Life Of The Party', 'Shawn Mendes']"
"[""Don't Judge Me"", 'Chris Brown']"
"['Growing Pains', 'Alessia Cara']"
"['P.I.M.P.', '50 Cent']"
"['Bottoms Up', 'Trey Songz Featuring Nicki Minaj']"
"['May We All', 'Florida Georgia Line Featuring Tim McGraw']"
"[""Let's Get It On"", 'Shabba Ranks']"
"['Simple Life', 'Elton John']"
"['Feel That Fire', 'Dierks Bentley']"
"[""Ain't My Fault"", 'Zara Larsson']"
"['Close', 'Nick Jonas Featuring Tove Lo']"
"['Take Me There', 'BLACKstreet & Mya Featuring Mase & Blinky Blink']"
"['Living In Sin', 'Bon Jovi']"
"['The Adventure', 'Angels & Airwaves']"
"['Ryde Or Die, Chick', 'The Lox Featuring Timbaland And EVE']"
"['Every Time I Hear Your Name', 'Keith Anderson']"
"['Get The Party Started', 'P!nk']"
"['Me And My Broken Heart', 'Rixton']"
"['Kill A Word', 'Eric Church Featuring Rhiannon Giddens']"
"['Gal Yuh Ah Lead', 'T.O.K.']"
"['Crazy Kids', 'Ke$ha Featuring will.i.am Or Juicy J']"
"['When I Look To The Sky', 'Train']"
"['Nika', 'Vicious']"
"['Gangsta Nation', 'Westside Connection Featuring Nate Dogg']"
"['Summertime Summertime', 'Corina']"
"['Young', 'Kenny Chesney']"
"[""Won't Go Home Without You"", 'Maroon 5']"
"['It Kills Me', 'Melanie Fiona']"
"['Shake That Sh**', 'Shawnna Featuring Ludacris']"
"['Meanwhile Back At The Ranch', 'The Clark Family Experience']"
"['(I Hate) Everything About You', 'Three Days Grace']"
"['Secret', 'Heart']"
"['Hands Of A Working Man', 'Ty Herndon']"
"['Stand Up', 'Love Tribe']"
"[""Ex's & Oh's"", 'Elle King']"
"['Price Of Love', 'Bad English']"
"['Find A Way', 'Dwele']"
"['Wherever Would I Be', 'Cheap Trick']"
"['Disappear', 'INXS']"
"['Something About The Sunshine', 'Christopher Wilde & Anna Margaret']"
"['Anything Goes', 'Randy Houser']"
"[""I Don't Care"", 'Apocalyptica Featuring Adam Gontier']"
"['Obsession (No Es Amor)', 'Frankie J Featuring Baby Bash']"
"['Push It', 'Rick Ross']"
"['Regular Thang', 'Ovis']"
"['Where The Hood At?', 'DMX']"
"['Back To Life', 'Soul II Soul']"
"['Love On The Brain', 'Rihanna']"
"['Stubborn Love', 'The Lumineers']"
"['Get Me Bodied', 'Beyonce']"
"['Forever & Always', 'Taylor Swift']"
"['Heathens', 'twenty one pilots']"
"['Esskeetit', 'Lil Pump']"
"['He Gets That From Me', 'Reba McEntire']"
"['I Hope You Dance', 'Lee Ann Womack']"
"['I Miss You', 'DMX Featuring Faith Evans']"
"['Come On Over Baby (All I Want Is You)', 'Christina Aguilera']"
"[""What I've Done"", 'Linkin Park']"
"['I Know What You Want', 'Busta Rhymes & Mariah Carey Featuring The Flipmode Squad']"
"['I Like It', 'The Blackout Allstars']"
"['Home', 'Daughtry']"
"[""Tonight (I'm Lovin' You)"", 'Enrique Iglesias Featuring Ludacris & DJ Frank E']"
"['Send Me On My Way', 'Rusted Root']"
"[""Let's Play House"", ""Tha Dogg Pound Featuring Michel'le""]"
"['Formation', 'Beyonce']"
"['Watch Me Do My Thing (From ""All That"")', 'Immature Featuring Smooth And Ed From Good Burger']"
"['Fly', 'Maddie & Tae']"
"['Call On Me', 'Janet & Nelly']"
"['Take This Heart', 'Richard Marx']"
"['I Got A Man', 'Positive K']"
"['Good Lovin', 'Ludacris Featuring Miguel']"
"['Emotional Rollercoaster', 'Vivian Green']"
"['Money Maker', 'Ludacris Featuring Pharrell']"
"['Stitches', 'Shawn Mendes']"
"['Running', 'No Doubt']"
"['Streiht Up Menace (From ""Menace II Society"")', 'MC Eiht']"
"['Til My Last Day', 'Justin Moore']"
"[""Body Bumpin' Yippie-Yi-Yo"", 'Public Announcement']"
"[""Don't Get Too High"", 'Bryson Tiller']"
"[""Don't Mind"", 'Kent Jones']"
"['One', 'Creed']"
"['Pull Over', 'Trina']"
"['So Fly', 'Slim Featuring Yung Joc']"
"['Hold It Against Me', 'Britney Spears']"
"['Stranger To Love', 'St. Paul']"
"[""Don't Tell Me"", 'Madonna']"
"['Issues', 'Meek Mill']"
"['Ghost', 'Ella Henderson']"
"['Numb', 'Usher']"
"['Ayo', 'Chris Brown & Tyga']"
"['When She Says Baby', 'Jason Aldean']"
"['Light', 'Big Sean Featuring Jeremih']"
"['F*ck You', 'Lily Allen']"
"['Toes', 'Zac Brown Band']"
"['Shots', 'LMFAO Featuring Lil Jon']"
"['My First Night With You', 'Mya']"
"['Play My Funk (From ""Sugar Hill"")', 'Simple E']"
"['Bad Blood', 'Bastille']"
"['Grillz', 'Nelly Featuring Paul Wall, Ali & Gipp']"
"['I Will Be Here For You', 'Michael W. Smith']"
"['Thank You In Advance', 'Boyz II Men']"
"['Solo', 'Iyaz']"
"['Little Bit Of Everything', 'Keith Urban']"
"['The River', 'Good Charlotte Featuring M. Shadows And Synyster Gates']"
"['Break Up To Make Up', 'Cynthia']"
"['Come Back', 'Londonbeat']"
"['All Or Nothing', 'Milli Vanilli']"
"['How We Do', 'The Game Featuring 50 Cent']"
"['Charlie Last Name: Wilson', 'Charlie Wilson']"
"['None Of Ur Friends Business', 'Ginuwine']"
"['Karma', 'Alicia Keys']"
"['Hole Hearted', 'Extreme']"
"[""If You're Reading This"", 'Tim McGraw']"
"['Paparazzi', 'Lady Gaga']"
"['Lucas With The Lid Off', 'Lucas']"
"[""It's Over Now"", 'L.A. Guns']"
"['Blase', 'Ty Dolla $ign Featuring Future & Rae Sremmurd']"
"['And Our Feelings', 'Babyface']"
"['Touch Me', 'Solo']"
"[""Don't Lie"", 'The Black Eyed Peas']"
"['0 To 100 / The Catch Up', 'Drake']"
"['One Woman Man', 'Dave Hollister']"
"['Say It', 'Tory Lanez']"
"['Party', 'Chris Brown Featuring Usher & Gucci Mane']"
"['Can U Believe', 'Robin Thicke']"
"[""Nothin'"", 'N.O.R.E.']"
"['Law', 'Yo Gotti Featuring E-40']"
"['Then', 'Brad Paisley']"
"['Thnks Fr Th Mmrs', 'Fall Out Boy']"
"['Compass', 'Lady Antebellum']"
"['Come Back To Me', 'Janet Jackson']"
"['She Looks So Perfect', '5 Seconds Of Summer']"
"['1-800-273-8255', 'Logic Featuring Alessia Cara & Khalid']"
"['N Dey Say', 'Nelly']"
"[""I'm Glad"", 'Jennifer Lopez']"
"['Romeo And Juliet', 'Sylk-E. Fyne Featuring Chill']"
"['Loving You Easy', 'Zac Brown Band']"
"['Yolanda', 'Reality']"
"['Welcome To Jamrock', 'Damian ""Jr. Gong"" Marley']"
"['Always In My Heart', 'Tevin Campbell']"
"['Summer Girls', 'LFO']"
"[""I Don't Wanna Stop"", 'Ozzy Osbourne']"
"['Woof', 'Snoop Dogg Featuring Mystikal And Fiend']"
"[""Isn't She Lovely"", 'Glee Cast']"
"['Put It On Me', ""Ja Rule Featuring Lil' Mo & Vita""]"
"['Bless The Broken Road', 'Rascal Flatts']"
"['Stay The Night', 'Zedd Featuring Hayley Williams']"
"['Do You See', 'Warren G']"
"[""Gettin' Some"", 'Shawnna']"
"['If I Could Change (From ""I\'m Bout It"")', ""Master P Featuring Steady Mobb'n, Mia X, Mo B. Dick & O'Dell""]"
"['Light It Up', 'Luke Bryan']"
"['How Much Love', 'Vixen']"
"['Bangarang', 'Skrillex Featuring Sirah']"
"['G.D.F.R.', 'Flo Rida Featuring Sage The Gemini & Lookas']"
"['Warm Summer Daze', 'Vybe']"
"['The Impossible', 'Joe Nichols']"
"['I Wish It Would Rain Down', 'Phil Collins']"
"['Lay Me Down', 'Sam Smith']"
"['Party Like A Rockstar', 'Shop Boyz']"
"['Cream', 'Prince And The N.P.G.']"
"['Sweet November', 'Troop']"
"[""Can't Stop"", 'After 7']"
"['Rush', 'Aly & AJ']"
"['Black Skinhead', 'Kanye West']"
"[""Seein' Red"", 'Dustin Lynch']"
"['All I See', 'A+']"
"['The Sign', 'Ace Of Base']"
"['Ivy', 'Frank Ocean']"
"['Say Goodbye', 'Chris Brown']"
"['Bad Habits', 'Maxwell']"
"['Burn It Down', 'Linkin Park']"
"['Victim Of The Ghetto', 'The College Boyz']"
"[""You're A Jerk"", 'New Boyz']"
"['I Need Love', 'Olivia Newton-John']"
"['Glorious', 'Macklemore Featuring Skylar Grey']"
"['Desperate Man', 'Eric Church']"
"['Made Me', 'Snootie Wild Featuring K Camp']"
"['Breathe', 'Michelle Branch']"
"['The Bomb! (These Sounds Fall Into My Mind)', 'The Bucketheads']"
"['Passionate Kisses', 'Mary Chapin Carpenter']"
"['I Melt', 'Rascal Flatts']"
"['Work', 'Iggy Azalea']"
"[""I'll See You In My Dreams"", 'Giant']"
"['Humps For The Blvd.', 'Rodney O & Joe Cooley']"
"[""I'm Not Your Puppet"", 'Hi-C']"
"['Cookie Jar', 'Gym Class Heroes Featuring The-Dream']"
"['Hooked On You', 'Silk']"
"[""Rock Wit'cha"", 'Bobby Brown']"
"[""I Can't Dance"", 'Genesis']"
"['Cold Water', 'Major Lazer Featuring Justin Bieber & MO']"
"['Hallelujah', 'Leonard Cohen']"
"['Bitter Tears', 'INXS']"
"['Jesus He Knows Me', 'Genesis']"
"[""Like I'm Gonna Lose You"", 'Meghan Trainor Featuring John Legend']"
"['White Christmas', 'Bing Crosby']"
"['All For You', 'Sister Hazel']"
"[""Cleopatra's Theme"", 'Cleopatra']"
"['Could This Be Love', 'Seduction']"
"['Party People', 'Nelly Featuring Fergie']"
"['Just A Touch Of Love', 'C+C Music Factory Presents Zelma Davis']"
"['Sukiyaki', '4PM']"
"['Te Bote', 'Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny']"
"['Power Trip', 'J. Cole Featuring Miguel']"
"[""If You're Serious"", 'Riff']"
"['U Smile', 'Justin Bieber']"
"['Irresistible', 'Fall Out Boy']"
"['Heart Attack', 'Demi Lovato']"
"['sobeautiful', 'Musiq Soulchild']"
"['Strip That Down', 'Liam Payne Featuring Quavo']"
"['Where Do We Go From Here (From ""Eraser"")', 'Vanessa Williams']"
"['Felt Good On My Lips', 'Tim McGraw']"
"['Pump Up The Jam', 'Technotronic Featuring Felly']"
"['The Woman With You', 'Kenny Chesney']"
"['I Can Only Imagine', 'MercyMe']"
"['Shortie Like Mine', 'Bow Wow Featuring Chris Brown & Johnta Austin']"
"['Keep The Family Close', 'Drake']"
"['Stronger Woman', 'Jewel']"
"['Scars', 'Papa Roach']"
"[""So What'cha Want"", 'Beastie Boys']"
"['This Is The Night', 'Clay Aiken']"
"[""It's Alright, It's Ok"", 'Leah Andreone']"
"['Never Ever', 'Ciara Featuring Young Jeezy']"
"[""I'm In"", 'Keith Urban']"
"[""'98 Thug Paradise"", 'Tragedy, Capone, Infinite']"
"['She Got Her Own', 'Ne-Yo Featuring Jamie Foxx & Fabolous']"
"['32 Flavors', 'Alana Davis']"
"['Empire State Of Mind', 'Jay-Z + Alicia Keys']"
"['Shake It Out', 'Florence + The Machine']"
"['Crack A Bottle', 'Eminem, Dr. Dre & 50 Cent']"
"['Again', 'Faith Evans']"
"['Toxic', 'Britney Spears']"
"[""Don't Make Me"", 'Blake Shelton']"
"['Have Fun, Go Mad', 'Blair']"
"['Badaboom', 'B2K Featuring Fabolous']"
"['The One That Got Away', 'Jake Owen']"
"['Sorry', 'Beyonce']"
"['Thinkin Bout You', 'Frank Ocean']"
"['Make A Wave', ""Disney's Friends For Change""]"
"['8 Out Of 10', 'Drake']"
"['About Us', 'Brooke Hogan Featuring Paul Wall']"
"['The Light', 'Common']"
"['Run To You', 'Whitney Houston']"
"['Forever', 'Papa Roach']"
"['TKO', 'Justin Timberlake']"
"['Wheels', 'Foo Fighters']"
"['The Champion', 'Carrie Underwood Featuring Ludacris']"
"['Good Enough', 'Sarah McLachlan']"
"['Paranoid', 'Jonas Brothers']"
"['Cowboy', 'Kid Rock']"
"['Stand', 'Poison']"
"['All That I Can Say', 'Mary J. Blige']"
"['Ignorance', 'Paramore']"
"['This Woman Needs', 'SHeDAISY']"
"['Can I Have This Dance', 'Zac Efron & Vanessa Hudgens']"
"['Wait', 'Maroon 5']"
"['Up All Night', 'Slaughter']"
"['Broken Arrow', 'Rod Stewart']"
"['The Race', 'Tay-K']"
"[""Pushin' Weight"", 'Ice Cube Featuring Mr. Short Khop']"
"['A Little Bit Stronger', 'Sara Evans']"
"['Post To Be', 'Omarion Featuring Chris Brown & Jhene Aiko']"
"['Overprotected', 'Britney Spears']"
"['Silence Is Broken (From ""Nowhere To Run"")', 'Damn Yankees']"
"['I Wanna Be Down', 'Brandy']"
"['Tipsy', 'J-Kwon']"
"['Leaving Las Vegas', 'Sheryl Crow']"
"['Everybody Talks', 'Neon Trees']"
"['Hello L.O.V.E.', 'John Michael Montgomery']"
"['Flipside', 'Freeway Featuring Peedi Crakk']"
"['Ain\'t Nobody (From ""Beavis And Butt-Head Do America"")', 'LL Cool J']"
"[""Cryin' Like A Bitch!"", 'Godsmack']"
"['Mad Izm', 'Channel Live']"
"['Here We Are', 'Gloria Estefan']"
"['Better In Time', 'Leona Lewis']"
"['The Jump Off', ""Lil' Kim Featuring Mr. Cheeks""]"
"['Barefoot Blue Jean Night', 'Jake Owen']"
"['If I Never See Your Face Again', 'Maroon 5 Featuring Rihanna']"
"['He Loves U Not', 'Dream']"
"['Come Back To Me', 'Vanessa Hudgens']"
"['Wish I Knew You', 'The Revivalists']"
"['Tonight (Best You Ever Had)', 'John Legend Featuring Ludacris']"
"['I Feel It Coming', 'The Weeknd Featuring Daft Punk']"
"['Luv', 'Tory Lanez']"
"['Great Is Thy Faithfulness', 'Jordan Smith']"
"['Stars', 'Grace Potter & The Nocturnals']"
"['Fire & Desire', 'Drake']"
"['When The Sun Goes Down', 'Kenny Chesney & Uncle Kracker']"
"['Wind Of Change', 'Scorpions']"
"['Empty Beach', 'Tricia Leigh Fisher']"
"['Step It Up', ""Stereo MC's""]"
"['Bump, Bump, Bump', 'B2K & P. Diddy']"
"['Begin Again', 'Taylor Swift']"
"['Do It To Me', 'Lionel Richie']"
"['Days Like These', 'Asia']"
"['As If', 'Sara Evans']"
"[""Must've Never Met You"", 'Luke Combs']"
"[""Club Can't Handle Me"", 'Flo Rida Featuring David Guetta']"
"['Falling To Pieces', 'Faith No More']"
"['Santa Tell Me', 'Ariana Grande']"
"['Away From Me', 'Puddle Of Mudd']"
"['I Can Love You Like That', 'All-4-One']"
"['Love And Understanding', 'Cher']"
"['I Have Nothing', 'Whitney Houston']"
"['Feel So Good', 'Mase']"
"['How Far', 'Martina McBride']"
"['One Of Those Days', 'Whitney Houston']"
"['Beep', 'Bobby V Featuring Yung Joc']"
"['Save Me', 'Shinedown']"
"['Thank You', 'Boyz II Men']"
"['Change The World', 'Eric Clapton']"
"['Show Me Love', 'Robyn']"
"['Ring My Bell', 'D.J. Jazzy Jeff & The Fresh Prince']"
"['What It Feels Like For A Girl', 'Madonna']"
"['I Wanna Get Back With You', 'Louie Louie']"
"['Number One Spot', 'Ludacris']"
"['Peace In Our Time', 'Eddie Money']"
"['I Love You This Much', 'Jimmy Wayne']"
"['Be My Baby Tonight', 'John Michael Montgomery']"
"['Tubthumping', 'Chumbawamba']"
"[""She's Gone (Lady)"", 'Steelheart']"
"['Kiss Of Life', 'Sade']"
"['Blowing Kisses In The Wind', 'Paula Abdul']"
"['Die In Your Arms', 'Justin Bieber']"
"['Pleasure', 'The Soup Dragons']"
"['#thatPOWER', 'will.i.am Featuring Justin Bieber']"
"['Tequila', 'Dan + Shay']"
"['Know What You Mean', 'Sister 7']"
"['Best I Ever Had', 'Gavin DeGraw']"
"['Wanna Dance', 'Yasmin']"
"['Do You Like This', 'Rome']"
"['The Best Day', 'George Strait']"
"['Fifteen', 'Taylor Swift']"
"['Nothing But Trouble (Instagram Models)', 'Lil Wayne & Charlie Puth']"
"['Top Off', 'DJ Khaled Featuring JAY Z, Future & B']"
"['From Yesterday', 'Thirty Seconds To Mars']"
"[""There's Nothing Holdin' Me Back"", 'Shawn Mendes']"
"['Rough & Ready', 'Trace Adkins']"
"['Someone To Love', 'Jon B. Featuring Babyface']"
"['Catch My Breath', 'Kelly Clarkson']"
"['Spark', 'Tori Amos']"
"['Stricken', 'Disturbed']"
"['YAHHH!', ""Soulja Boy Tell'em Featuring Arab""]"
"['Born To Roll', 'Masta Ace Incorporated']"
"['River Of Love', 'George Strait']"
"['Everyday', 'A$AP Rocky Featuring Rod Stewart x Miguel x Mark Ronson']"
"['Get On Your Knees', 'Nicki Minaj Featuring Ariana Grande']"
"['Little Bird', 'Annie Lennox']"
"['Street Of Dreams', 'Nia Peeples']"
"['Breathless', 'The Corrs']"
"['When Somebody Loves You', 'Alan Jackson']"
"[""Boys 'round Here"", 'Blake Shelton Featuring Pistol Annies & Friends']"
"['ATM', 'J. Cole']"
"['Alright', 'Jamiroquai']"
"['A Better Love', 'Londonbeat']"
"['I Like The Way (The Kissing Game)', 'Hi-Five']"
"['Boom Boom Pow', 'The Black Eyed Peas']"
"[""Shinin' On Me"", 'Jerrod Niemann']"
"[""Ain't Worth The Whiskey"", 'Cole Swindell']"
"['Dem Jeans', 'Chingy Featuring Jermaine Dupri']"
"['Leave Out All The Rest', 'Linkin Park']"
"[""Don't Mess With The Radio"", 'Nivea']"
"['Good Times', 'Styles']"
"[""That's How You Feel"", 'Drake']"
"['Sad!', 'XXXTENTACION']"
"['Fortunate', 'Maxwell']"
"['Perfect', 'One Direction']"
"['Sensitivity', 'Ralph Tresvant']"
"['Steal My Girl', 'One Direction']"
"['Piece Of My Heart', 'Tara Kemp']"
"['Letters From Home', 'John Michael Montgomery']"
"['Killer', 'Seal']"
"[""Love Don't Live Here Anymore"", 'Madonna']"
"['Brand New', 'Ben Rector']"
"['I Wanna Love You', 'Akon Featuring Snoop Dogg']"
"['Come Again', 'Damn Yankees']"
"['Alone', 'Halsey Featuring Big Sean & Stefflon Don']"
"['Love Like Crazy', 'Lee Brice']"
"['Waiting For Tonight', 'Jennifer Lopez']"
"['Someone Like You', 'Adele']"
"['Trouble', 'P!nk']"
"['Take One', 'Kodak Black']"
"['Bon, Bon', 'Pitbull']"
"['Dub Be Good To Me', 'Beats International']"
"['Raise Up', 'Petey Pablo']"
"['In A Dream', 'Rockell']"
"['Alone', 'Lasgo']"
"['Fighter', 'Christina Aguilera']"
"['Feel No Ways', 'Drake']"
"['Quality Time', 'Hi-Five']"
"['Wrong Impression', 'Natalie Imbruglia']"
"['Heartbreaker', 'Mariah Carey Featuring Jay-Z']"
"['Would I Lie To You?', 'Charles & Eddie']"
"['Swing', ""Savage Featuring Soulja Boy Tell'em""]"
"['Fire Burning', 'Sean Kingston']"
"['L.A. Song', 'Beth Hart']"
"['Pretty Fly (For A White Guy)', 'The Offspring']"
"[""It's All About You (Not About Me)"", 'Tracie Spencer']"
"['Bother', 'Stone Sour']"
"['Talk To Me', 'Wild Orchid']"
"['Cool For The Summer', 'Demi Lovato']"
"['Bring Me To Life', 'Evanescence Featuring Paul McCoy']"
"[""Please Don't Go"", 'Mike Posner']"
"['Ooh Aah... Just A Little Bit', 'Gina G']"
"['Levels', 'Nick Jonas']"
"['Get Back', 'Demi Lovato']"
"['Wanna Be A Baller', ""Lil' Troy Featuring Yungsta, Fat Pat, Lil' Will, Hawk, Big T""]"
"['I Tried', 'Bone Thugs-N-Harmony Featuring Akon']"
"['You Gonna Fly', 'Keith Urban']"
"['19 You + Me', 'Dan + Shay']"
"[""Jimmy Olsen's Blues"", 'Spin Doctors']"
"['Loving Arms', 'Darden Smith']"
"['Wrong Again', 'Martina McBride']"
"['FourFiveSeconds', 'Rihanna & Kanye West & Paul McCartney']"
"['Little Red Wagon', 'Miranda Lambert']"
"['Homemade Dynamite', 'Lorde Featuring Khalid, Post Malone & SZA']"
"['Play Hard', 'David Guetta Featuring Ne-Yo & Akon']"
"['I Can Make It Better', 'Luther Vandross']"
"['Somewhere I Belong', 'Linkin Park']"
"['From The Bottom Of My Broken Heart', 'Britney Spears']"
"['Call Me', 'Le Click']"
"[""I'm The Plug"", 'Drake & Future']"
"[""God's Plan"", 'Drake']"
"['Redneck Crazy', 'Tyler Farr']"
"['Long Time Gone', 'Dixie Chicks']"
"['Fake Love', 'BTS']"
"['Underneath The Tree', 'Kelly Clarkson']"
"['Check It Out', 'will.i.am & Nicki Minaj']"
"['Through The Fire And Flames', 'DragonForce']"
"['Hands Clean', 'Alanis Morissette']"
"['Drink A Beer', 'Luke Bryan']"
"['No Mistakes', 'Kanye West']"
"['I Love The Way You Love Me', 'John Michael Montgomery']"
"[""Somethin' Bad"", 'Miranda Lambert Duet With Carrie Underwood']"
"['Sweet Dreams', 'Beyonce']"
"['Set It Off', 'Juvenile']"
"['Kiss It Better', 'Rihanna']"
"['Cozy Little Christmas', 'Katy Perry']"
"['Some People Change', 'Montgomery Gentry']"
"['Last Resort', 'Papa Roach']"
"['Where Have All The Cowboys Gone?', 'Paula Cole']"
"['Get Along', 'Kenny Chesney']"
"['This House', 'Tracie Spencer']"
"['Give You What You Want (Fa Sure)', 'Chico DeBarge']"
"['Runaway Baby', 'Bruno Mars']"
"[""Don't Rush"", 'Silk']"
"['Somewhere Else', 'Toby Keith']"
"['Shape Of My Heart', 'Backstreet Boys']"
"['What Might Have Been', 'Little Texas']"
"['Tonight Is The Night', 'Outasight']"
"['Write This Down', 'George Strait']"
"['Never Gonna Let You Down', 'Surface']"
"['Ex-Factor', 'Lauryn Hill']"
"['Wanna Get To Know You', 'G-Unit Featuring Joe']"
"['Drop', 'The Pharcyde']"
"['Endless Love', 'Luther Vandross & Mariah Carey']"
"[""It's Over"", 'Jesse McCartney']"
"['Hit It Again', '3OH!3']"
"['Love You Like That', 'Canaan Smith']"
"['Big Rings', 'Drake & Future']"
"['All For You', 'Janet']"
"['Lonely And Gone', 'Montgomery Gentry']"
"['Hit The Quan', 'iLoveMemphis']"
"['Go Girl', 'Ciara Featuring T-Pain']"
"['Not Afraid', 'Eminem']"
"['Moan & Groan', 'Mark Morrison']"
"['Where I Wanna Be', 'Damizza Presents Shade Sheist Featuring Nate Dogg & Kurupt']"
"['Tal Vez', 'Ricky Martin']"
"['What You Give', 'Tesla']"
